gene_id	GO.IDs
comp10241_c0_seq1	GO:0003824;GO:0006725;GO:0016787;GO:0047372
comp10242_c0_seq1	GO:0003847;GO:0004693;GO:0008353
comp10243_c0_seq1	GO:0030163;GO:0043248
comp10243_c0_seq1	GO:0030163;GO:0043248
comp10245_c0_seq1	GO:0000151;GO:0004842;GO:0008270;GO:0016567
comp10246_c0_seq1	GO:0004888;GO:0016020;GO:0002226;GO:0009682
comp10247_c0_seq1	GO:0006364;GO:0007046;GO:0019843;GO:0030532
comp10249_c0_seq1	GO:0008152;GO:0016491;GO:0004449;GO:0005739;GO:0006099;GO:0004448
comp10252_c0_seq1	GO:0004335;GO:0005524;GO:0006012;GO:0046835;GO:0008152;GO:0016301;GO:0016310;GO:0005737;GO:0016773
comp10254_c0_seq1	GO:0031214
comp10255_c0_seq1	GO:0008903
comp10257_c0_seq1	GO:0008451;GO:0004177
comp10259_c0_seq1	GO:0008152;GO:0016740;GO:0003676;GO:0031177
comp10261_c0_seq1	GO:0003777;GO:0005524;GO:0005875;GO:0007018
comp10262_c0_seq1	GO:0008152;GO:0016491;GO:0004316
comp10263_c0_seq1	GO:0004197;GO:0004221;GO:0006511;GO:0007268;GO:0048167
comp10266_c0_seq1	GO:0003676
comp10268_c0_seq1	GO:0007242;GO:0004713;GO:0016175
comp1027_c0_seq1	GO:0003847;GO:0016251
comp10274_c0_seq1	GO:0004565;GO:0005975;GO:0009341
comp10281_c0_seq1	GO:0003812
comp10282_c0_seq1	GO:0003676;GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
comp10283_c0_seq1	GO:0003676
comp10284_c0_seq1	GO:0005515
comp10287_c0_seq1	GO:0005123
comp10289_c0_seq1	GO:0008270
comp10294_c0_seq1	GO:0003677;GO:0006355
comp10300_c0_seq1	GO:0003677;GO:0003700;GO:0005634;GO:0006355
comp10302_c0_seq1	GO:0003824;GO:0006725;GO:0016787;GO:0047372
comp10304_c0_seq1	GO:0005488;GO:0006810;GO:0016020;GO:0005310
comp10306_c0_seq1	GO:0005509
comp10308_c0_seq1	GO:0004785;GO:0006801;GO:0046872;GO:0030001;GO:0016835;GO:0016836;GO:0016837;GO:0016838;GO:0004784;GO:0006950;GO:0006979
comp1031_c0_seq1	GO:0004096;GO:0006118;GO:0006979;GO:0006950
comp10312_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004684;GO:0004685;GO:0005954;GO:0007268;GO:0048167
comp10313_c0_seq1	GO:0003677;GO:0005665;GO:0006366;GO:0003899;GO:0005634;GO:0006350;GO:0003900;GO:0003901;GO:0003902
comp10317_c0_seq1	GO:0003824;GO:0006508;GO:0008236
comp10323_c0_seq1	GO:0001509;GO:0004197;GO:0006508;GO:0003923;GO:0016787;GO:0051336
comp10324_c0_seq1	GO:0047220
comp10326_c0_seq1	GO:0005856;GO:0005737;GO:0008092;GO:0016020;GO:0004725;GO:0004727
comp10327_c0_seq1	GO:0008270;GO:0006508;GO:0008237;GO:0010992
comp10329_c0_seq1	GO:0004713
comp1033_c0_seq1	GO:0005515;GO:0005524;GO:0044267;GO:0003763
comp10332_c0_seq1	GO:0005622;GO:0006810
comp10332_c0_seq1	GO:0005622;GO:0006810
comp10333_c0_seq1	GO:0008091
comp10333_c0_seq1	GO:0008091
comp10334_c0_seq1	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004693;GO:0008353
comp10335_c0_seq1	GO:0005515;GO:0005737
comp10337_c0_seq1	GO:0005525;GO:0007264;GO:0006886
comp10340_c0_seq1	GO:0008152;GO:0016491;GO:0008874;GO:0008875
comp10343_c0_seq1	GO:0016251
comp10344_c0_seq1	GO:0016787;GO:0004157
comp10346_c0_seq1	GO:0000166;GO:0003677;GO:0003887;GO:0006260;GO:0008408
