gene,Fish_kME
isogroup11476,0
isogroup11477,0
isogroup11478,0
isogroup1148,0
isogroup11480,0
isogroup11481,0
isogroup11482,0
isogroup11483,0
isogroup11484,0
isogroup11485,0
isogroup11486,0
isogroup11487,0
isogroup11488,0
isogroup11489,0
isogroup1149,0
isogroup11490,0
isogroup11491,0
isogroup11492,0
isogroup11493,0
isogroup11494,0
isogroup11495,0
isogroup11496,0
isogroup11497,0
isogroup11498,0
isogroup11499,0
isogroup115,0
isogroup1150,0
isogroup11500,0
isogroup11501,0
isogroup11502,0
isogroup11503,0
isogroup11504,0
isogroup11505,0
isogroup11507,0
isogroup11508,0
isogroup1151,0
isogroup11510,0
isogroup11511,0
isogroup11512,0
isogroup11517,0
isogroup11519,0
isogroup1152,0
isogroup11520,0
isogroup11521,0
isogroup11523,0
isogroup11525,0
isogroup11526,0
isogroup11527,0
isogroup11528,0
isogroup1153,0
isogroup11530,0
isogroup11532,0
isogroup11533,0
isogroup11535,0
isogroup11537,0
isogroup11538,0
isogroup11539,0
isogroup1154,0
isogroup11540,0
isogroup11541,0
isogroup11542,0
isogroup11543,0
isogroup11544,0
isogroup11545,0
isogroup11547,0
isogroup11548,0
isogroup11549,0
isogroup1155,0
isogroup11550,0
isogroup11551,0
isogroup11552,0
isogroup11553,0
isogroup11554,0
isogroup11555,0
isogroup11556,0
isogroup11557,0
isogroup11558,0
isogroup11559,0
isogroup1156,0
isogroup11561,0
isogroup11562,0
isogroup11563,0
isogroup11566,0
isogroup11567,0
isogroup11568,0
isogroup11569,0
isogroup11570,0
isogroup11572,0
isogroup11573,0
isogroup11574,0
isogroup11575,0
isogroup11576,0
isogroup11577,0
isogroup11578,0
isogroup11579,0
isogroup1158,0
isogroup11580,0
isogroup11581,0
isogroup11582,0
isogroup11583,0
isogroup11585,0
isogroup11586,0.44049090261682
isogroup11587,0
isogroup11589,0
isogroup1159,0
isogroup11590,0
isogroup11591,0
isogroup11592,0
isogroup11593,0
isogroup11595,0
isogroup11597,0
isogroup11599,0
isogroup116,0
isogroup1160,0
isogroup11600,0
isogroup11601,0
isogroup11602,0
isogroup11603,0
isogroup11604,0
isogroup11605,0
isogroup11606,0
isogroup11607,0
isogroup11608,0
isogroup1161,0
isogroup11610,0
isogroup11611,0
isogroup11612,0
isogroup11613,0
isogroup11614,0
isogroup11615,0
isogroup11616,0
isogroup11617,0
isogroup11618,0
isogroup11619,0
isogroup1162,0
isogroup11620,0
isogroup11621,0
isogroup11623,0
isogroup11624,0
isogroup11625,0
isogroup11627,0
isogroup11628,0
isogroup11629,0
isogroup1163,0
isogroup11630,0
isogroup11631,0
isogroup11632,0
isogroup11633,0.801495987321341
isogroup11634,0
isogroup11636,0
isogroup11637,0
isogroup11638,0
isogroup1164,0
isogroup11641,0
isogroup11642,0
isogroup11645,0
isogroup11646,0
isogroup11647,0
isogroup11648,0
isogroup11649,0
isogroup1165,0
isogroup11650,0
isogroup11651,0
isogroup11652,0
isogroup11653,0
isogroup11655,0
isogroup11656,0
isogroup11657,0
isogroup11658,0
isogroup11659,0
isogroup1166,0
isogroup11661,0
isogroup11664,0
isogroup11666,0
isogroup11667,0
isogroup11669,0
isogroup1167,0.725606892528208
isogroup11670,0
isogroup11671,0
isogroup11672,0
isogroup11673,0
isogroup11674,0
isogroup11675,0
isogroup11678,0
isogroup11679,0.571759551173621
isogroup1168,0
isogroup11680,0
isogroup11681,0
isogroup11682,0
isogroup11683,0
isogroup11686,0
isogroup11689,0
isogroup1169,0
isogroup11691,0
isogroup11693,0
isogroup11694,0
isogroup11695,0
isogroup11696,0
isogroup11697,0
isogroup11698,0
isogroup11699,0
isogroup117,0
isogroup1170,0
isogroup11700,0
isogroup11701,0
isogroup11702,0
isogroup11703,0
isogroup11704,0
isogroup11706,0
isogroup11708,0
isogroup1171,0
isogroup11710,0
isogroup11711,0
isogroup11712,0
isogroup11713,0
isogroup11714,0
isogroup11716,0
isogroup11717,0
isogroup11718,0
isogroup11719,0
isogroup1172,0
isogroup11720,0
isogroup11721,0
isogroup11722,0
isogroup11723,0
isogroup11724,0.730216906506184
isogroup11725,0
isogroup11726,0
isogroup11729,0
isogroup1173,0
isogroup11733,0
isogroup11734,0
isogroup11735,0
isogroup11737,0
isogroup11738,0
isogroup11739,0
isogroup1174,0
isogroup11740,0
isogroup11741,0
isogroup11743,0
isogroup11745,0
isogroup11746,0
isogroup11747,0
isogroup11748,0
isogroup1175,0
isogroup11750,0
isogroup11751,0
isogroup11752,0
isogroup11754,0
isogroup11755,0
isogroup11758,0
isogroup11759,0
isogroup1176,0
isogroup11760,0
isogroup11764,0
isogroup1177,0
isogroup11770,0.56679017930613
isogroup11772,0
isogroup11777,0
isogroup11778,0
isogroup11779,0
isogroup11780,0
isogroup11781,0
isogroup11783,0
isogroup11784,0
isogroup11785,0
isogroup11786,0
isogroup11787,0
isogroup11788,0
isogroup11789,0
isogroup1179,0
isogroup11791,0
isogroup11792,0
isogroup11793,0
isogroup11794,0
isogroup11795,0
isogroup11796,0
isogroup11797,0
isogroup11798,0
isogroup118,0
isogroup1180,0
isogroup11800,0
isogroup11801,0
isogroup11803,0
isogroup11804,0
isogroup11805,0
isogroup11806,0
isogroup11808,0
isogroup1181,0
isogroup11810,0
isogroup11812,0
isogroup11814,0
isogroup11815,0
isogroup11816,0
isogroup11817,0
isogroup11818,0
isogroup1182,0
